,Concentration,k_on,k_off,surf_ads_dens,diff_coeff,pore_diam,hyd_rad,Max,corr_grad
119,0.4,0.27371,0.53661,0.40505,0.23607,0.38966,0.39218,0.006016717106211368,4.151372714726047e-07
215,4.0,0.28923,0.60132,0.57862,0.21722,0.41474,0.47977,0.011155102799578681,1.5684050695990488e-06
164,0.0,0.26618,0.63942,0.47709,0.06305,0.35478,0.50017,0.0010492789689210155,4.639081571732828e-06
300,0.1,0.29743,0.71047,0.4305,0.00491,0.28011,0.42018,0.007570519906575816,3.4165738063694937e-06
118,0.4,0.23361,0.61794,0.54022,0.12639,0.45388,0.53417,0.007765402146743126,2.135324952117455e-06
36,0.002,0.30529,0.59927,0.53403,0.05827,0.46389,0.47253,0.002283537768631691,5.799170890098576e-07
353,40.0,0.28663,0.61725,0.49496,0.05534,0.38145,0.47492,0.013474018731372843,7.179158212488138e-07
232,10.0,0.33913,0.60157,0.49567,0.14875,0.44373,0.43619,0.013930824993797795,2.4852625866415675e-06
75,0.02,0.38326,0.48745,0.38414,0.46901,0.63197,0.4385,0.0010030183422335057,-9.696722481607938e-06
225,4.0,0.20328,0.48121,0.52287,0.2663,0.41205,0.50498,0.011761245643345162,4.11765678619988e-07
104,0.2,0.19041,0.58891,0.4889,0.1081,0.42705,0.39303,0.005312096068048261,2.3019017504661215e-06
224,4.0,0.28646,0.5832,0.51782,0.26402,0.53806,0.3043,0.0117323160527594,4.4872545821962925e-07
246,10.0,0.35944,0.65794,0.54478,0.15703,0.43066,0.38043,0.01407773263921206,2.8962787539217896e-06
222,4.0,0.32176,0.6364,0.53622,0.22602,0.36425,0.47416,0.011746785538282368,9.470659142525326e-07
30,0.002,0.19257,0.73738,0.21758,0.8142,0.47506,0.75314,0.0004016364349628507,-4.622900537686642e-05
27,2.0,0.15505,0.51686,0.53313,0.34697,0.37488,0.46849,0.014844343944326507,-1.3465048015182348e-07
100,0.2,0.2096,0.62564,0.51353,0.0693,0.42205,0.46321,0.004995291690955628,2.216456988003901e-06
179,1.0,0.28912,0.60363,0.52755,0.21738,0.45384,0.45947,0.007978534306742273,-2.5175102878064518e-06
4,2.0,0.24416,0.57954,0.53289,0.18859,0.40394,0.43159,0.011937448858987114,6.596171018561571e-07
329,0.04,0.30959,0.22147,0.47851,0.09628,0.44988,0.25088,0.0016022423773469647,2.1391991085106028e-05
60,0.02,0.23275,0.67512,0.45787,0.10437,0.51516,0.45405,0.0011911796430211794,1.1742974718362343e-06
239,10.0,0.32215,0.63944,0.48324,0.19502,0.36892,0.48574,0.012355084277509431,8.501690825135866e-07
344,0.04,0.58683,0.00865,0.59687,0.17647,0.61632,0.86483,0.0008888841498837602,1.7900758153190227e-05
56,0.002,0.17562,0.61097,0.30707,0.22872,0.08622,0.53308,0.000916203983654921,9.562002607981335e-06
63,0.02,0.42094,0.73055,0.46069,0.69297,0.20252,0.36334,0.0010992766944104512,-9.674037406620757e-06
161,0.0,0.2026,0.61658,0.4687,0.0612,0.37811,0.43905,0.00172305906465099,3.2678233355847474e-06
26,2.0,0.44962,0.48397,0.44733,0.48311,0.40221,0.47735,0.009481468439123225,-9.74535655898563e-07
90,0.2,0.35175,0.57901,0.63943,0.46241,0.70416,0.71653,0.0025394120153386683,-5.8901593266339135e-06
111,0.2,0.26275,0.66859,0.50652,0.06795,0.34828,0.45971,0.004990326721753189,1.5989113650327148e-06
78,0.02,0.29415,0.58427,0.47032,0.07155,0.26607,0.48002,0.001695991372187481,-6.036818393471814e-07
